{acceleration:2.5E-7,dureePortes:2500,ascenseurSpeed:1.5E-3,capaciteAsc:5,repartAscenseurs:{{val:2},{val:2},{val:2},{val:2}},margeInterAsc:0.8,dureeEntreeSortiePers:1200,niveauMin:0,niveauMax:38}
{completionTime:7150423,totalTransportTime:2396878437,nbPersonneTransportees:3602,failed:false,maxTransportTime:6679283}
{ascStackId:1,heureEntreeAscenseur:7786,heureSortieAscenseur:41319,monteeIdId:2,heureArrivee:4086}
{ascStackId:1,heureEntreeAscenseur:27039,heureSortieAscenseur:92838,monteeIdId:1,heureArrivee:4673}
{ascStackId:1,heureEntreeAscenseur:11190,heureSortieAscenseur:43390,monteeIdId:3,heureArrivee:7490}
{ascStackId:0,heureEntreeAscenseur:14294,heureSortieAscenseur:34494,monteeIdId:2,heureArrivee:10594}
{ascStackId:1,heureEntreeAscenseur:16301,heureSortieAscenseur:46701,monteeIdId:0,heureArrivee:12601}
{ascStackId:1,heureEntreeAscenseur:56901,heureSortieAscenseur:147386,monteeIdId:0,heureArrivee:14224}
{ascStackId:1,heureEntreeAscenseur:80229,heureSortieAscenseur:149786,monteeIdId:0,heureArrivee:14270}
{ascStackId:0,heureEntreeAscenseur:33908,heureSortieAscenseur:54774,monteeIdId:1,heureArrivee:15542}
{ascStackId:0,heureEntreeAscenseur:30565,heureSortieAscenseur:45709,monteeIdId:3,heureArrivee:17921}
{ascStackId:1,heureEntreeAscenseur:22501,heureSortieAscenseur:109573,monteeIdId:0,heureArrivee:18201}
{ascStackId:0,heureEntreeAscenseur:39597,heureSortieAscenseur:56197,monteeIdId:0,heureArrivee:18370}
{ascStackId:0,heureEntreeAscenseur:40797,heureSortieAscenseur:57397,monteeIdId:0,heureArrivee:18370}
{ascStackId:0,heureEntreeAscenseur:41997,heureSortieAscenseur:58597,monteeIdId:0,heureArrivee:18370}
{ascStackId:0,heureEntreeAscenseur:24197,heureSortieAscenseur:38397,monteeIdId:0,heureArrivee:19297}
{ascStackId:0,heureEntreeAscenseur:99099,heureSortieAscenseur:187405,monteeIdId:3,heureArrivee:19689}
{ascStackId:1,heureEntreeAscenseur:70029,heureSortieAscenseur:148586,monteeIdId:0,heureArrivee:20733}
{ascStackId:0,heureEntreeAscenseur:22997,heureSortieAscenseur:88197,monteeIdId:0,heureArrivee:21377}
{ascStackId:0,heureEntreeAscenseur:48109,heureSortieAscenseur:110955,monteeIdId:3,heureArrivee:22884}
{ascStackId:0,heureEntreeAscenseur:153411,heureSortieAscenseur:191005,monteeIdId:3,heureArrivee:23031}
{ascStackId:0,heureEntreeAscenseur:133011,heureSortieAscenseur:189805,monteeIdId:3,heureArrivee:23603}
{ascStackId:1,heureEntreeAscenseur:49905,heureSortieAscenseur:94038,monteeIdId:1,heureArrivee:24050}
{ascStackId:1,heureEntreeAscenseur:51105,heureSortieAscenseur:95238,monteeIdId:1,heureArrivee:24050}
{ascStackId:1,heureEntreeAscenseur:98838,heureSortieAscenseur:129771,monteeIdId:1,heureArrivee:28032}
{ascStackId:1,heureEntreeAscenseur:51519,heureSortieAscenseur:139458,monteeIdId:2,heureArrivee:30366}
{ascStackId:0,heureEntreeAscenseur:58374,heureSortieAscenseur:120438,monteeIdId:1,heureArrivee:31028}
{ascStackId:1,heureEntreeAscenseur:146658,heureSortieAscenseur:224786,monteeIdId:2,heureArrivee:31091}
{ascStackId:1,heureEntreeAscenseur:145458,heureSortieAscenseur:170858,monteeIdId:2,heureArrivee:32171}
{ascStackId:0,heureEntreeAscenseur:59574,heureSortieAscenseur:147822,monteeIdId:1,heureArrivee:33275}
{ascStackId:0,heureEntreeAscenseur:55974,heureSortieAscenseur:145422,monteeIdId:1,heureArrivee:35618}
{ascStackId:0,heureEntreeAscenseur:57174,heureSortieAscenseur:146622,monteeIdId:1,heureArrivee:35618}
{ascStackId:1,heureEntreeAscenseur:144258,heureSortieAscenseur:210530,monteeIdId:2,heureArrivee:36240}
{ascStackId:0,heureEntreeAscenseur:54941,heureSortieAscenseur:67997,monteeIdId:2,heureArrivee:37241}
{ascStackId:0,heureEntreeAscenseur:59797,heureSortieAscenseur:89397,monteeIdId:0,heureArrivee:37559}
{ascStackId:0,heureEntreeAscenseur:56141,heureSortieAscenseur:106725,monteeIdId:2,heureArrivee:37559}
{ascStackId:0,heureEntreeAscenseur:46909,heureSortieAscenseur:143211,monteeIdId:3,heureArrivee:42135}
{ascStackId:0,heureEntreeAscenseur:90597,heureSortieAscenseur:131836,monteeIdId:0,heureArrivee:44541}
{ascStackId:0,heureEntreeAscenseur:91797,heureSortieAscenseur:133036,monteeIdId:0,heureArrivee:44541}
{ascStackId:0,heureEntreeAscenseur:77997,heureSortieAscenseur:130636,monteeIdId:0,heureArrivee:46739}
{ascStackId:0,heureEntreeAscenseur:101997,heureSortieAscenseur:134236,monteeIdId:0,heureArrivee:47490}
{ascStackId:1,heureEntreeAscenseur:79566,heureSortieAscenseur:135232,monteeIdId:3,heureArrivee:49866}
{ascStackId:0,heureEntreeAscenseur:92525,heureSortieAscenseur:129191,monteeIdId:2,heureArrivee:50054}
{ascStackId:0,heureEntreeAscenseur:82325,heureSortieAscenseur:127991,monteeIdId:2,heureArrivee:51408}
{ascStackId:0,heureEntreeAscenseur:81125,heureSortieAscenseur:126791,monteeIdId:2,heureArrivee:51408}
{ascStackId:0,heureEntreeAscenseur:334366,heureSortieAscenseur:368366,monteeIdId:2,heureArrivee:52143}
{ascStackId:0,heureEntreeAscenseur:219311,heureSortieAscenseur:260921,monteeIdId:2,heureArrivee:52143}
{ascStackId:1,heureEntreeAscenseur:65719,heureSortieAscenseur:140658,monteeIdId:2,heureArrivee:52334}
{ascStackId:1,heureEntreeAscenseur:57305,heureSortieAscenseur:96438,monteeIdId:1,heureArrivee:53039}
{ascStackId:0,heureEntreeAscenseur:133566,heureSortieAscenseur:187075,monteeIdId:1,heureArrivee:53840}
{ascStackId:0,heureEntreeAscenseur:558238,heureSortieAscenseur:585371,monteeIdId:1,heureArrivee:54464}
{ascStackId:0,heureEntreeAscenseur:482153,heureSortieAscenseur:508619,monteeIdId:0,heureArrivee:57255}
{ascStackId:1,heureEntreeAscenseur:123832,heureSortieAscenseur:208210,monteeIdId:3,heureArrivee:57284}
{ascStackId:1,heureEntreeAscenseur:95373,heureSortieAscenseur:150986,monteeIdId:0,heureArrivee:57284}
{ascStackId:1,heureEntreeAscenseur:125032,heureSortieAscenseur:209410,monteeIdId:3,heureArrivee:57284}
